os,channel,version,timestamp
mac,canary,84.0.4127.0,2020-04-26 05:27:01.330003
win64,canary,84.0.4127.0,2020-04-26 05:12:01.881375
win,canary,84.0.4127.0,2020-04-26 04:57:01.657852
android,canary,84.0.4126.0,2020-04-25 08:57:03.042412
win,canary_asan,84.0.4126.1,2020-04-25 08:27:02.585735
win64,canary_asan,84.0.4126.1,2020-04-25 08:27:01.966473
mac,canary,84.0.4126.0,2020-04-25 05:42:00.953123
win,canary,84.0.4126.0,2020-04-25 05:27:02.179547
win64,canary,84.0.4126.0,2020-04-25 04:57:01.562468
cros,stable,81.0.4044.127,2020-04-24 19:44:31.491949
android,canary,84.0.4125.0,2020-04-24 10:02:02.934318
win,canary_asan,84.0.4125.1,2020-04-24 08:17:02.157659
win64,canary_asan,84.0.4125.1,2020-04-24 08:17:01.623399
win,canary,84.0.4125.0,2020-04-24 05:17:01.627278
win64,canary,84.0.4125.0,2020-04-24 05:17:00.998542
webview,dev,84.0.4120.6,2020-04-23 22:04:11.936703
android,dev,84.0.4120.6,2020-04-23 22:03:02.425543
linux,dev,84.0.4122.7,2020-04-23 18:04:04.046011
win,dev,84.0.4122.7,2020-04-23 17:49:02.659760
win64,dev,84.0.4122.7,2020-04-23 17:49:01.687853
mac,dev,84.0.4122.7,2020-04-23 17:49:00.998371
android,canary,84.0.4124.1,2020-04-23 13:34:02.919307
win,canary_asan,84.0.4124.2,2020-04-23 12:34:01.617916
win64,canary_asan,84.0.4124.2,2020-04-23 12:34:01.088015
win64,canary,84.0.4124.1,2020-04-23 09:34:01.918691
mac,canary,84.0.4124.1,2020-04-23 09:34:01.223064
win,canary,84.0.4124.1,2020-04-23 09:19:01.947009
win,canary_asan,84.0.4122.8,2020-04-23 08:19:02.720444
win64,canary_asan,84.0.4122.8,2020-04-23 08:19:02.137618
android,canary,84.0.4122.7,2020-04-23 04:04:03.249206
webview,beta,83.0.4103.23,2020-04-22 22:35:30.320967
android,beta,83.0.4103.23,2020-04-22 22:34:02.570401
mac,canary,84.0.4122.7,2020-04-22 21:34:01.291547
cros,beta,83.0.4103.21,2020-04-22 21:20:03.575458
win,canary,84.0.4122.7,2020-04-22 21:19:02.150593
win64,canary,84.0.4122.7,2020-04-22 21:04:01.691833
linux,beta,83.0.4103.23,2020-04-22 18:34:03.918912
win,beta,83.0.4103.24,2020-04-22 18:19:02.072111
win64,beta,83.0.4103.24,2020-04-22 18:19:01.275233
mac,beta,83.0.4103.23,2020-04-22 18:19:00.553219
mac,canary,84.0.4122.3,2020-04-22 17:19:01.627354
win,canary,84.0.4122.3,2020-04-22 17:04:01.899257
win64,canary,84.0.4122.3,2020-04-22 17:04:01.278784
android,canary,84.0.4122.2,2020-04-22 10:37:03.853795
win,canary_asan,84.0.4122.1,2020-04-22 08:22:01.988675
win64,canary_asan,84.0.4122.1,2020-04-22 08:22:01.254576
mac,canary,84.0.4122.0,2020-04-22 05:22:01.332390
win,canary,84.0.4122.0,2020-04-22 05:07:01.468033
win64,canary,84.0.4122.0,2020-04-22 04:52:01.298995
android,canary,84.0.4121.3,2020-04-22 02:38:02.838800
ios,stable,81.0.4044.124,2020-04-21 23:38:07.980478
ios,dev,84.0.4121.0,2020-04-21 21:38:04.478572
linux,stable,81.0.4044.122,2020-04-21 19:53:03.550285
mac,stable,81.0.4044.122,2020-04-21 19:53:00.456103
win,stable,81.0.4044.122,2020-04-21 19:38:02.092042
win64,stable,81.0.4044.122,2020-04-21 19:38:01.239790
webview,stable,81.0.4044.117,2020-04-21 18:39:05.208744
android,stable,81.0.4044.117,2020-04-21 18:38:02.565462
win,canary,84.0.4121.0,2020-04-21 05:24:03.164147
win64,canary,84.0.4121.0,2020-04-21 05:24:02.305382
mac,canary,84.0.4121.0,2020-04-21 05:24:01.668914
android,canary,84.0.4120.2,2020-04-21 02:39:02.313112
cros,dev,84.0.4114.0,2020-04-21 02:25:31.904851
android,canary,84.0.4120.0,2020-04-20 09:11:02.675976
mac,canary,84.0.4120.0,2020-04-20 05:26:01.082520
win,canary,84.0.4120.0,2020-04-20 05:11:02.020444
win64,canary,84.0.4120.0,2020-04-20 05:11:01.413959
android,canary,84.0.4119.0,2020-04-19 10:41:03.035339
win,canary_asan,84.0.4119.1,2020-04-19 09:41:01.664932
win64,canary_asan,84.0.4119.1,2020-04-19 09:41:00.915987
mac,canary,84.0.4119.0,2020-04-19 05:41:01.443460
win,canary,84.0.4119.0,2020-04-19 05:11:02.232650
win64,canary,84.0.4119.0,2020-04-19 05:11:01.486939
android,canary,84.0.4118.0,2020-04-18 10:12:03.248975
mac,canary,84.0.4118.0,2020-04-18 05:42:00.648778
win64,canary,84.0.4118.0,2020-04-18 05:12:01.780992
win,canary,84.0.4117.4,2020-04-17 22:57:01.621688
mac,canary,84.0.4117.3,2020-04-17 21:13:01.298545
cros,beta,83.0.4103.15,2020-04-17 20:59:00.808077
win64,canary,84.0.4117.3,2020-04-17 20:43:02.121663
android,canary,84.0.4117.2,2020-04-17 10:58:02.683256
win,canary_asan,84.0.4117.1,2020-04-17 09:43:02.578627
win64,canary_asan,84.0.4117.1,2020-04-17 09:43:01.765519
android,canary,84.0.4117.0,2020-04-17 08:28:03.161454
mac,canary,84.0.4117.2,2020-04-17 07:28:01.448647
win,canary,84.0.4117.2,2020-04-17 07:13:01.401916
win64,canary,84.0.4117.2,2020-04-17 06:43:01.882744
android,canary,84.0.4116.6,2020-04-17 05:58:02.716905
mac,canary,84.0.4117.0,2020-04-17 05:28:01.004089
win,canary,84.0.4117.0,2020-04-17 05:13:02.169171
win64,canary,84.0.4117.0,2020-04-17 04:58:01.513090
webview,dev,84.0.4114.3,2020-04-16 21:29:36.022108
android,dev,84.0.4114.3,2020-04-16 21:28:03.337280
win64,canary,84.0.4116.5,2020-04-16 21:13:01.151289
win,canary,84.0.4116.5,2020-04-16 20:58:01.739716
android,canary,84.0.4116.4,2020-04-16 19:58:03.135802
linux,dev,84.0.4115.5,2020-04-16 18:58:05.541875
win,dev,84.0.4115.5,2020-04-16 18:58:02.397519
win64,dev,84.0.4115.5,2020-04-16 18:58:01.738349
mac,dev,84.0.4115.5,2020-04-16 18:58:01.155566
linux,beta,83.0.4103.14,2020-04-16 18:43:04.866798
win,beta,83.0.4103.14,2020-04-16 18:43:02.763337
win64,beta,83.0.4103.14,2020-04-16 18:43:02.054689
mac,beta,83.0.4103.14,2020-04-16 18:43:01.167630
webview,beta,83.0.4103.14,2020-04-16 17:59:36.401142
android,beta,83.0.4103.14,2020-04-16 17:58:03.267721
android,canary,84.0.4116.1,2020-04-16 09:29:03.368090
win,canary_asan,84.0.4116.3,2020-04-16 08:59:02.237032
win64,canary_asan,84.0.4116.3,2020-04-16 08:59:01.563960
win,canary,84.0.4116.2,2020-04-16 05:59:01.684946
win64,canary,84.0.4116.2,2020-04-16 05:59:01.079436
mac,canary,84.0.4116.0,2020-04-16 05:14:01.344196
win,canary,84.0.4116.0,2020-04-16 04:59:01.719745
win,canary,84.0.4115.5,2020-04-16 03:14:02.336601
win64,canary,84.0.4115.5,2020-04-16 02:59:00.975783
android,canary,84.0.4115.4,2020-04-15 23:59:03.541648
mac,canary,84.0.4115.5,2020-04-15 23:44:01.182135
linux,beta,81.0.4044.113,2020-04-15 19:45:03.647912
win,beta,81.0.4044.113,2020-04-15 19:30:02.956026
win64,beta,81.0.4044.113,2020-04-15 19:30:02.245190
mac,beta,81.0.4044.113,2020-04-15 19:30:01.572784
linux,stable,81.0.4044.113,2020-04-15 19:15:03.907205
win,stable,81.0.4044.113,2020-04-15 19:00:02.177537
win64,stable,81.0.4044.113,2020-04-15 19:00:01.325813
mac,stable,81.0.4044.113,2020-04-15 18:45:01.056026
webview,beta,81.0.4044.111,2020-04-15 18:31:34.336330
webview,stable,81.0.4044.111,2020-04-15 18:31:33.755327
android,stable,81.0.4044.111,2020-04-15 18:30:02.772910
android,canary,84.0.4115.3,2020-04-15 18:00:04.045738
win,canary_asan,84.0.4115.2,2020-04-15 08:31:02.589956
win64,canary_asan,84.0.4115.2,2020-04-15 08:31:01.855194
mac,canary,84.0.4115.1,2020-04-15 06:31:01.323797
win,canary,84.0.4115.1,2020-04-15 06:16:02.133191
win64,canary,84.0.4115.1,2020-04-15 06:02:01.738773
android,canary,84.0.4114.2,2020-04-14 22:33:03.442958
ios,dev,84.0.4114.0,2020-04-14 22:18:03.968002
webview,dev,83.0.4103.14,2020-04-14 22:04:28.621125
android,dev,83.0.4103.14,2020-04-14 22:03:02.644395
linux,dev,83.0.4103.14,2020-04-14 19:18:04.926297
win,dev,83.0.4103.14,2020-04-14 19:03:02.886358
win64,dev,83.0.4103.14,2020-04-14 19:03:02.191276
mac,dev,83.0.4103.14,2020-04-14 19:03:01.420755
android,canary,84.0.4114.0,2020-04-14 08:33:03.480021
win,canary_asan,84.0.4114.1,2020-04-14 08:18:02.756099
win64,canary_asan,84.0.4114.1,2020-04-14 08:18:01.963721
mac,canary,84.0.4114.0,2020-04-14 05:33:00.509773
win,canary,84.0.4114.0,2020-04-14 05:18:01.582476
win64,canary,84.0.4114.0,2020-04-14 05:03:01.365600
win64,canary,84.0.4113.2,2020-04-13 21:03:01.095363
mac,canary,84.0.4113.2,2020-04-13 21:03:00.530589
win,canary,84.0.4113.2,2020-04-13 20:48:02.187440
cros,stable,81.0.4044.103,2020-04-13 18:34:32.069709
mac,canary,84.0.4113.0,2020-04-13 11:35:01.657842
android,canary,84.0.4113.0,2020-04-13 09:05:02.690034
win,canary_asan,84.0.4113.1,2020-04-13 08:20:02.789204
win64,canary_asan,84.0.4113.1,2020-04-13 08:20:01.855238
win,canary,84.0.4113.0,2020-04-13 04:50:01.790386
win64,canary,84.0.4113.0,2020-04-13 04:50:01.118824
android,canary,84.0.4112.0,2020-04-12 08:38:02.922557
win,canary_asan,84.0.4112.1,2020-04-12 08:23:02.253607
win64,canary_asan,84.0.4112.1,2020-04-12 08:23:01.663281
mac,canary,84.0.4112.0,2020-04-12 05:23:00.936586
win,canary,84.0.4112.0,2020-04-12 05:08:01.968440
win64,canary,84.0.4112.0,2020-04-12 04:38:01.759421
android,canary,84.0.4111.0,2020-04-11 09:09:02.603123
android,canary,84.0.4110.2,2020-04-11 08:39:02.449598
win,canary_asan,84.0.4111.1,2020-04-11 08:24:02.208667
win64,canary_asan,84.0.4111.1,2020-04-11 08:24:01.615919
win,canary,84.0.4111.0,2020-04-11 05:24:02.330485
win64,canary,84.0.4111.0,2020-04-11 05:09:01.584539
win,canary_asan,84.0.4110.1,2020-04-10 08:25:03.478062
win64,canary_asan,84.0.4110.1,2020-04-10 08:25:02.899797
mac,canary,84.0.4110.0,2020-04-10 05:55:01.209418
win64,canary,84.0.4110.0,2020-04-10 05:25:01.711228
win,canary,84.0.4110.0,2020-04-10 05:10:01.645176
ios,beta,83.0.4103.7,2020-04-09 23:10:04.059586
cros,dev,83.0.4103.6,2020-04-09 20:11:33.848060
android,canary,84.0.4109.1,2020-04-09 10:11:04.825073
win,canary_asan,84.0.4109.2,2020-04-09 09:11:02.476844
win64,canary_asan,84.0.4109.2,2020-04-09 09:11:01.703466
win,canary,84.0.4109.1,2020-04-09 06:41:02.233394
mac,canary,84.0.4109.1,2020-04-09 06:41:01.386544
win64,canary,84.0.4109.1,2020-04-09 06:11:01.645755
mac,canary,84.0.4108.2,2020-04-09 00:41:01.743088
win,canary,84.0.4108.2,2020-04-09 00:11:02.382624
win64,canary,84.0.4108.2,2020-04-08 23:56:01.704480
android,dev,83.0.4103.7,2020-04-08 22:41:03.063669
webview,dev,83.0.4103.7,2020-04-08 22:27:38.828079
cros,stable,81.0.4044.95,2020-04-08 19:12:35.256391
linux,dev,83.0.4103.7,2020-04-08 19:12:05.123736
win,dev,83.0.4103.7,2020-04-08 18:57:03.387665
win64,dev,83.0.4103.7,2020-04-08 18:57:02.366456
mac,dev,83.0.4103.7,2020-04-08 18:57:01.540658
android,canary,84.0.4108.0,2020-04-08 08:58:02.959650
mac,canary,84.0.4108.0,2020-04-08 05:43:00.960797
win,canary,84.0.4108.0,2020-04-08 05:13:02.081501
win64,canary,84.0.4108.0,2020-04-08 05:13:01.510110
cros,stable,80.0.3987.162,2020-04-07 23:13:25.278533
ios,dev,84.0.4106.0,2020-04-07 22:13:02.253936
ios,stable,81.0.4044.62,2020-04-07 20:43:04.309177
webview,stable,81.0.4044.96,2020-04-07 19:00:16.179115
linux,stable,81.0.4044.92,2020-04-07 18:59:04.796497
android,stable,81.0.4044.96,2020-04-07 18:59:02.886853
win,stable,81.0.4044.92,2020-04-07 18:59:01.886453
win64,stable,81.0.4044.92,2020-04-07 18:59:01.248720
mac,stable,81.0.4044.92,2020-04-07 18:59:00.599225
mac,stable,80.0.3987.163,2020-04-07 17:59:00.917152
mac,stable,80.0.3987.149,2020-04-07 17:44:01.091504
android,canary,84.0.4107.0,2020-04-07 08:59:02.381659
win,canary_asan,84.0.4107.1,2020-04-07 08:14:02.234796
win64,canary_asan,84.0.4107.1,2020-04-07 08:14:01.597133
mac,canary,84.0.4107.0,2020-04-07 05:59:00.695186
win,canary,84.0.4107.0,2020-04-07 05:14:02.136475
win64,canary,84.0.4107.0,2020-04-07 04:59:01.091819
webview,beta,81.0.4044.96,2020-04-06 22:00:34.198136
android,beta,81.0.4044.96,2020-04-06 21:59:01.982728
android,canary,84.0.4106.2,2020-04-06 20:59:04.787437
cros,beta,81.0.4044.95,2020-04-06 18:30:00.190502
win,canary_asan,84.0.4106.1,2020-04-06 08:15:02.482589
win64,canary_asan,84.0.4106.1,2020-04-06 08:15:01.765474
android,canary,83.0.4103.5,2020-04-06 07:00:03.881133
mac,canary,84.0.4106.0,2020-04-06 05:30:00.756172
win,canary,84.0.4106.0,2020-04-06 05:15:01.463210
win64,canary,84.0.4106.0,2020-04-06 04:45:01.180569
android,canary,83.0.4103.4,2020-04-05 06:00:03.155662
win,canary_asan,84.0.4104.1,2020-04-04 08:16:02.555147
win64,canary_asan,84.0.4104.1,2020-04-04 08:16:01.504130
android,canary,83.0.4103.3,2020-04-04 06:02:04.005708
mac,canary,84.0.4104.0,2020-04-04 05:32:01.371995
win,canary,84.0.4104.0,2020-04-04 05:17:01.926829
win64,canary,84.0.4104.0,2020-04-04 05:02:01.169480
mac,canary,83.0.4103.3,2020-04-04 02:33:01.264703
win,canary,83.0.4103.3,2020-04-04 02:18:01.221623
win64,canary,83.0.4103.3,2020-04-04 02:03:01.513133
mac,canary,83.0.4103.2,2020-04-03 19:48:06.168878
win,canary,83.0.4103.2,2020-04-03 19:18:01.309256
win64,canary,83.0.4103.2,2020-04-03 19:03:01.922738
android,canary,83.0.4103.0,2020-04-03 09:05:02.459505
win,canary_asan,83.0.4103.1,2020-04-03 08:35:02.152800
win64,canary_asan,83.0.4103.1,2020-04-03 08:35:01.419967
android,canary,83.0.4102.4,2020-04-03 06:35:02.633009
win,canary,83.0.4103.0,2020-04-03 05:35:02.364350
mac,canary,83.0.4103.0,2020-04-03 05:35:01.469725
win64,canary,83.0.4103.0,2020-04-03 05:20:00.969901
webview,beta,81.0.4044.91,2020-04-02 22:06:47.168493
android,beta,81.0.4044.91,2020-04-02 22:05:14.139403
linux,beta,81.0.4044.92,2020-04-02 20:05:03.413939
linux,stable,80.0.3987.163,2020-04-02 19:50:04.825376
win,beta,81.0.4044.92,2020-04-02 19:50:03.146279
win,stable,80.0.3987.163,2020-04-02 19:50:02.483657
win64,beta,81.0.4044.92,2020-04-02 19:50:01.826148
win64,stable,80.0.3987.163,2020-04-02 19:50:01.352452
mac,beta,81.0.4044.92,2020-04-02 19:50:00.703193
android,canary,83.0.4102.3,2020-04-02 19:35:03.646938
cros,dev,83.0.4099.3,2020-04-02 18:51:29.631995
mac,canary,83.0.4102.3,2020-04-02 16:05:02.786249
win,canary,83.0.4102.3,2020-04-02 15:50:02.571401
win64,canary,83.0.4102.3,2020-04-02 15:50:01.832749
webview,dev,83.0.4099.5,2020-04-01 23:08:12.712166
android,dev,83.0.4099.5,2020-04-01 23:07:03.608167
linux,dev,83.0.4100.3,2020-04-01 19:22:04.606844
win,dev,83.0.4100.3,2020-04-01 19:07:02.195291
win64,dev,83.0.4100.3,2020-04-01 19:07:01.532197
mac,dev,83.0.4100.3,2020-04-01 19:07:00.763765
android,canary,83.0.4101.0,2020-04-01 14:37:05.461858
win,canary_asan,83.0.4101.1,2020-04-01 08:22:02.805994
win64,canary_asan,83.0.4101.1,2020-04-01 08:22:01.849455
win,canary,83.0.4101.0,2020-04-01 07:07:04.540572
win64,canary,83.0.4101.0,2020-04-01 07:07:03.666913
mac,canary,83.0.4101.0,2020-04-01 05:37:01.481589
win64,canary,83.0.4100.3,2020-04-01 04:22:01.767619
mac,canary,83.0.4100.3,2020-04-01 04:22:00.965728
win,canary,83.0.4100.3,2020-04-01 03:37:01.539346
ios,dev,83.0.4100.0,2020-04-01 01:08:05.047953
android,canary,83.0.4100.2,2020-04-01 01:08:03.847498
android,canary,83.0.4099.5,2020-03-31 23:38:06.357506
win,stable,80.0.3987.162,2020-03-31 21:53:02.036443
win64,stable,80.0.3987.162,2020-03-31 21:53:01.289469
webview,stable,80.0.3987.162,2020-03-31 20:39:32.243341
android,stable,80.0.3987.162,2020-03-31 20:38:02.654909
linux,stable,80.0.3987.162,2020-03-31 17:23:04.043202
mac,stable,80.0.3987.162,2020-03-31 17:23:00.890097
win,canary_asan,83.0.4100.1,2020-03-31 08:23:02.043722
win64,canary_asan,83.0.4100.1,2020-03-31 08:23:01.192047
win,canary,83.0.4100.0,2020-03-31 05:38:02.859166
mac,canary,83.0.4100.0,2020-03-31 05:23:01.315843
win64,canary,83.0.4100.0,2020-03-31 05:08:01.998539
android,canary,83.0.4099.4,2020-03-31 01:09:02.890776
android,canary,83.0.4099.2,2020-03-30 20:09:03.655790
mac,canary,83.0.4099.2,2020-03-30 16:09:01.359447
win,canary,83.0.4099.2,2020-03-30 15:54:02.669369
win64,canary,83.0.4099.2,2020-03-30 15:54:01.888901
win,canary_asan,83.0.4099.1,2020-03-30 08:09:02.338045
win64,canary_asan,83.0.4099.1,2020-03-30 08:09:01.537407
mac,canary,83.0.4099.0,2020-03-30 05:39:01.202769
win64,canary,83.0.4099.0,2020-03-30 05:24:01.145660
win,canary,83.0.4099.0,2020-03-30 05:09:02.223262
android,canary,83.0.4098.3,2020-03-29 10:11:02.691251
win,canary_asan,83.0.4098.2,2020-03-29 08:26:02.677930
win64,canary_asan,83.0.4098.2,2020-03-29 08:26:01.837112
mac,canary,83.0.4098.0,2020-03-28 14:26:00.785635
win,canary_asan,83.0.4098.1,2020-03-28 08:11:01.993648
win64,canary_asan,83.0.4098.1,2020-03-28 08:11:01.262478
win,canary,83.0.4098.0,2020-03-28 05:26:01.652716
win64,canary,83.0.4098.0,2020-03-28 05:11:01.212935
cros,beta,81.0.4044.81,2020-03-27 23:42:03.361100
win,canary_asan,83.0.4097.2,2020-03-27 21:26:02.600949
win64,canary_asan,83.0.4097.2,2020-03-27 21:26:01.889986
android,canary,83.0.4097.0,2020-03-27 10:42:03.049054
android,canary,83.0.4096.4,2020-03-27 05:42:04.133681
mac,canary,83.0.4097.0,2020-03-27 05:42:01.123410
win,canary,83.0.4097.0,2020-03-27 05:27:01.534643
win64,canary,83.0.4097.0,2020-03-27 05:12:01.281556
cros,dev,83.0.4091.0,2020-03-26 22:58:30.194864
mac,canary,83.0.4096.3,2020-03-26 21:42:00.749253
win,canary,83.0.4096.3,2020-03-26 20:57:02.459166
win64,canary,83.0.4096.3,2020-03-26 20:57:01.810225
ios,dev,83.0.4094.0,2020-03-26 18:42:06.819727
linux,beta,81.0.4044.83,2020-03-26 18:27:03.803793
win,beta,81.0.4044.83,2020-03-26 18:12:01.939082
win64,beta,81.0.4044.83,2020-03-26 18:12:01.044618
mac,beta,81.0.4044.83,2020-03-26 18:12:00.445242
linux,dev,83.0.4093.3,2020-03-26 17:27:05.112376
android,dev,83.0.4093.2,2020-03-26 17:12:05.297260
win,dev,83.0.4093.3,2020-03-26 17:12:02.270604
win64,dev,83.0.4093.3,2020-03-26 17:12:01.629735
mac,dev,83.0.4093.3,2020-03-26 17:12:00.857188
webview,dev,83.0.4093.2,2020-03-26 16:58:29.086479
win,canary_asan,83.0.4096.1,2020-03-26 08:12:02.414330
win64,canary_asan,83.0.4096.1,2020-03-26 08:12:01.780078
mac,canary,83.0.4096.0,2020-03-26 05:42:00.551639
win,canary,83.0.4096.0,2020-03-26 05:27:01.969139
win64,canary,83.0.4096.0,2020-03-26 05:12:01.458293
android,canary,83.0.4095.0,2020-03-25 08:58:02.740926
win,canary_asan,83.0.4095.1,2020-03-25 08:13:02.231498
win64,canary_asan,83.0.4095.1,2020-03-25 08:13:01.344566
win,canary,83.0.4095.0,2020-03-25 05:43:01.965363
win64,canary,83.0.4095.0,2020-03-25 05:28:02.301547
mac,canary,83.0.4095.0,2020-03-25 05:28:01.609741
webview,beta,81.0.4044.71,2020-03-24 19:29:29.959005
android,beta,81.0.4044.71,2020-03-24 19:28:02.466656
android,canary,83.0.4094.0,2020-03-24 09:58:02.905738
win,canary_asan,83.0.4094.1,2020-03-24 08:28:01.996989
win64,canary_asan,83.0.4094.1,2020-03-24 08:28:01.299287
mac,canary,83.0.4094.0,2020-03-24 05:28:01.271102
win,canary,83.0.4094.0,2020-03-24 05:13:01.503113
win64,canary,83.0.4094.0,2020-03-24 04:58:01.129843
mac,canary,83.0.4093.3,2020-03-23 22:43:01.059052
win64,canary,83.0.4093.3,2020-03-23 22:28:01.802351
win,canary,83.0.4093.3,2020-03-23 22:13:02.282594
android,canary,83.0.4093.2,2020-03-23 16:28:03.763912
win,canary_asan,83.0.4093.1,2020-03-23 08:13:02.453841
win64,canary_asan,83.0.4093.1,2020-03-23 08:13:01.786108
mac,canary,83.0.4093.0,2020-03-23 05:28:01.344518
win,canary,83.0.4093.0,2020-03-23 04:58:02.062933
win64,canary,83.0.4093.0,2020-03-23 04:58:01.529097
win,canary_asan,83.0.4092.1,2020-03-22 08:28:01.800377
win64,canary_asan,83.0.4092.1,2020-03-22 08:28:01.124688
win64,canary,83.0.4092.0,2020-03-22 05:13:01.577906
mac,canary,83.0.4092.0,2020-03-22 05:13:00.980120
win,canary,83.0.4092.0,2020-03-22 04:58:01.760753
android,canary,83.0.4091.0,2020-03-21 08:58:03.055246
win,canary_asan,83.0.4091.1,2020-03-21 08:28:01.907387
win64,canary_asan,83.0.4091.1,2020-03-21 08:28:01.298946
mac,canary,83.0.4091.0,2020-03-21 05:43:00.644584
win,canary,83.0.4091.0,2020-03-21 05:28:01.427530
win64,canary,83.0.4091.0,2020-03-21 05:13:01.693990
android,canary,83.0.4090.2,2020-03-21 04:58:03.009710
cros,stable,80.0.3987.158,2020-03-20 18:43:29.103739
android,canary,83.0.4090.0,2020-03-20 09:29:02.426949
win,canary_asan,83.0.4090.1,2020-03-20 08:14:01.840364
win64,canary_asan,83.0.4090.1,2020-03-20 08:14:01.112485
mac,canary,83.0.4090.0,2020-03-20 05:44:01.520188
android,canary,83.0.4089.2,2020-03-20 05:29:02.943458
win,canary,83.0.4090.0,2020-03-20 05:29:01.502733
win64,canary,83.0.4090.0,2020-03-20 05:14:01.566387
cros,beta,81.0.4044.72,2020-03-19 18:30:59.178876
mac,stable,80.0.3987.132,2020-03-19 17:16:00.845992
android,canary,83.0.4089.0,2020-03-19 09:31:02.788748
win,canary_asan,83.0.4089.1,2020-03-19 08:16:02.745073
win64,canary_asan,83.0.4089.1,2020-03-19 08:16:01.989009
win,canary,83.0.4089.0,2020-03-19 05:46:01.867972
