os,channel,version,timestamp
mac,canary,85.0.4158.4,2020-05-28 19:49:01.438140
webview,beta,84.0.4147.27,2020-05-28 19:35:18.019005
android,beta,84.0.4147.27,2020-05-28 19:34:04.352784
win,canary,85.0.4158.4,2020-05-28 19:34:02.944106
win64,canary,85.0.4158.4,2020-05-28 19:34:02.021478
ios,stable,83.0.4103.88,2020-05-28 19:19:05.328900
linux,beta,84.0.4147.30,2020-05-28 18:35:05.043251
win,beta,84.0.4147.30,2020-05-28 18:20:02.827942
win64,beta,84.0.4147.30,2020-05-28 18:20:01.889941
mac,beta,84.0.4147.30,2020-05-28 18:20:01.228868
android,canary,85.0.4158.1,2020-05-28 11:08:03.954142
win,canary_asan,85.0.4158.2,2020-05-28 08:53:02.764201
win64,canary_asan,85.0.4158.2,2020-05-28 08:53:01.956072
win,canary_asan,85.0.4157.5,2020-05-28 08:23:02.119635
win64,canary_asan,85.0.4157.5,2020-05-28 08:23:01.587695
mac,canary,85.0.4158.1,2020-05-28 07:53:01.622683
win64,canary,85.0.4158.1,2020-05-28 07:08:01.852042
win,canary,85.0.4158.1,2020-05-28 06:53:01.461155
win64,canary,85.0.4158.0,2020-05-28 06:38:01.401988
win,canary,85.0.4158.0,2020-05-28 05:53:02.171722
ios,beta,84.0.4147.28,2020-05-28 00:53:04.326657
mac,canary,85.0.4157.4,2020-05-27 22:39:00.869777
webview,dev,84.0.4147.27,2020-05-27 22:10:36.023760
android,dev,84.0.4147.27,2020-05-27 22:09:03.390200
win,canary,85.0.4157.4,2020-05-27 22:09:02.184181
win64,canary,85.0.4157.4,2020-05-27 21:54:01.568384
mac,canary,85.0.4157.2,2020-05-27 20:24:01.570177
win64,canary,85.0.4157.2,2020-05-27 20:09:02.236780
win,canary,85.0.4157.2,2020-05-27 19:54:02.267827
mac,stable,83.0.4103.61,2020-05-27 18:11:00.982686
mac,stable,81.0.4044.138,2020-05-27 17:56:00.526659
android,canary,85.0.4157.0,2020-05-27 14:41:03.526438
win,canary_asan,85.0.4157.1,2020-05-27 06:43:01.865340
win64,canary_asan,85.0.4157.1,2020-05-27 06:43:01.179570
win,canary,85.0.4157.0,2020-05-27 06:28:01.481852
win64,canary,85.0.4157.0,2020-05-27 06:13:01.846198
mac,canary,85.0.4157.0,2020-05-27 05:13:01.519268
webview,stable,83.0.4103.83,2020-05-26 22:30:33.680986
android,stable,83.0.4103.83,2020-05-26 22:29:01.993730
webview,beta,83.0.4103.83,2020-05-26 22:00:40.525710
ios,dev,85.0.4156.0,2020-05-26 21:59:04.677455
android,beta,83.0.4103.83,2020-05-26 21:59:02.894716
cros,beta,83.0.4103.77,2020-05-26 21:15:07.587772
linux,dev,84.0.4147.21,2020-05-26 17:16:05.389224
win,dev,84.0.4147.21,2020-05-26 17:16:03.052456
win64,dev,84.0.4147.21,2020-05-26 17:16:02.044257
mac,dev,84.0.4147.21,2020-05-26 17:16:00.844813
android,canary,85.0.4156.0,2020-05-26 08:32:03.152644
win,canary_asan,85.0.4156.1,2020-05-26 06:47:02.008291
win64,canary_asan,85.0.4156.1,2020-05-26 06:47:01.278350
win,canary,85.0.4156.0,2020-05-26 06:32:02.081786
win64,canary,85.0.4156.0,2020-05-26 06:17:01.113938
mac,canary,85.0.4156.0,2020-05-26 05:18:00.777870
android,canary,85.0.4155.0,2020-05-25 08:34:02.925695
win,canary_asan,85.0.4155.1,2020-05-25 06:34:02.981061
win64,canary_asan,85.0.4155.1,2020-05-25 06:34:02.216961
win,canary,85.0.4155.0,2020-05-25 06:04:01.490822
win64,canary,85.0.4155.0,2020-05-25 05:49:01.672114
mac,canary,85.0.4155.0,2020-05-25 05:04:01.655534
android,canary,85.0.4154.0,2020-05-24 08:34:03.012121
win,canary_asan,85.0.4154.1,2020-05-24 06:34:02.456116
win64,canary_asan,85.0.4154.1,2020-05-24 06:34:01.681339
win,canary,85.0.4154.0,2020-05-24 06:19:01.773036
win64,canary,85.0.4154.0,2020-05-24 06:04:01.903523
mac,canary,85.0.4154.0,2020-05-24 05:19:01.825301
android,canary,85.0.4153.1,2020-05-23 09:35:03.068283
win,canary,85.0.4153.0,2020-05-23 06:05:01.825113
win64,canary,85.0.4153.0,2020-05-23 06:05:01.049121
android,canary,85.0.4152.2,2020-05-23 05:05:03.892068
mac,canary,85.0.4153.0,2020-05-23 05:05:00.668152
android,canary,85.0.4151.5,2020-05-23 01:05:02.128514
android,canary,85.0.4151.4,2020-05-22 17:07:08.667401
win,canary_asan,85.0.4152.1,2020-05-22 06:53:01.939764
win64,canary_asan,85.0.4152.1,2020-05-22 06:53:00.996562
win,canary,85.0.4152.0,2020-05-22 05:53:01.642400
win64,canary,85.0.4152.0,2020-05-22 05:23:01.661546
mac,canary,85.0.4152.0,2020-05-22 05:08:00.838955
webview,dev,84.0.4147.12,2020-05-21 22:39:35.732431
android,dev,84.0.4147.12,2020-05-21 22:38:03.199183
cros,dev,84.0.4147.10,2020-05-21 22:24:33.958739
win,canary,85.0.4151.3,2020-05-21 21:08:01.690223
win64,canary,85.0.4151.3,2020-05-21 20:53:01.219236
linux,dev,84.0.4147.13,2020-05-21 18:08:06.971209
mac,dev,84.0.4147.13,2020-05-21 18:08:00.666231
win,dev,84.0.4147.13,2020-05-21 17:53:02.547495
win64,dev,84.0.4147.13,2020-05-21 17:53:01.590780
android,canary,85.0.4151.2,2020-05-21 09:38:03.742580
win,canary,85.0.4151.0,2020-05-21 08:08:01.760629
win64,canary,85.0.4151.0,2020-05-21 07:53:01.697871
mac,canary,85.0.4151.0,2020-05-21 05:08:01.247228
webview,beta,81.0.4044.138,2020-05-20 23:09:32.590756
webview,stable,81.0.4044.138,2020-05-20 23:09:32.124672
android,stable,81.0.4044.138,2020-05-20 23:08:02.575619
cros,dev,84.0.4147.0,2020-05-20 19:54:33.154137
ios,dev,85.0.4150.0,2020-05-20 18:08:06.106958
android,canary,85.0.4150.0,2020-05-20 08:38:02.858077
win,canary,85.0.4150.0,2020-05-20 08:23:02.069263
win64,canary,85.0.4150.0,2020-05-20 07:53:02.125665
win,canary_asan,85.0.4150.1,2020-05-20 07:23:02.481419
win64,canary_asan,85.0.4150.1,2020-05-20 07:23:01.395656
mac,canary,85.0.4150.0,2020-05-20 05:23:01.521834
win,canary,85.0.4149.2,2020-05-19 20:38:03.049547
win64,canary,85.0.4149.2,2020-05-19 20:38:02.368979
mac,canary,85.0.4149.2,2020-05-19 20:38:01.671435
webview,stable,83.0.4103.60,2020-05-19 19:40:37.455843
android,stable,83.0.4103.60,2020-05-19 19:39:04.995521
linux,stable,83.0.4103.61,2020-05-19 18:09:03.167623
win,stable,83.0.4103.61,2020-05-19 17:54:02.821948
win64,stable,83.0.4103.61,2020-05-19 17:54:02.189321
ios,stable,83.0.4103.63,2020-05-19 17:09:03.878533
win,canary,85.0.4149.0,2020-05-19 09:41:01.992436
win64,canary,85.0.4149.0,2020-05-19 09:26:01.292020
win,canary_asan,85.0.4149.1,2020-05-19 08:56:02.057056
win64,canary_asan,85.0.4149.1,2020-05-19 08:56:01.401125
android,canary,85.0.4149.0,2020-05-19 08:41:03.711119
mac,canary,85.0.4149.0,2020-05-19 05:26:00.810409
webview,beta,83.0.4103.60,2020-05-18 22:59:33.601379
android,beta,83.0.4103.60,2020-05-18 22:58:01.860884
cros,dev,84.0.4142.0,2020-05-18 19:14:33.276013
linux,beta,83.0.4103.61,2020-05-18 16:47:05.882919
win,beta,83.0.4103.61,2020-05-18 16:47:03.237463
win64,beta,83.0.4103.61,2020-05-18 16:47:02.158046
